value,property,unit,cmp_ids,cmp_mole_fractions
7.755337952,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.03, 0.03, 0.03, 0.01, 0.9]"
4.24365176,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.04, 0.05, 0.05, 0.76]"
5.574498266,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.05, 0.04, 0.05, 0.04, 0.82]"
4.646791397,solubility,mg/mL,"[0, 3, 5]","[0.05, 0.05, 0.9]"
2.854520021,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.02, 0.04, 0.03, 0.05, 0.05, 0.81]"
3.320802005,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.05, 0.02, 0.03, 0.02, 0.88]"
3.349944629,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.03, 0.01, 0.02, 0.01, 0.89]"
4.258223072,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.03, 0.01, 0.03, 0.05, 0.84]"
3.000233141,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.02, 0.02, 0.05, 0.03, 0.84]"
2.480523008,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.05, 0.02, 0.03, 0.04, 0.86]"
12.69501272,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.04, 0.05, 0.01, 0.05, 0.82]"
8.707330346,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.04, 0.05, 0.03, 0.78]"
8.318762021,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.03, 0.03, 0.02, 0.02, 0.85]"
8.673330608,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.01, 0.01, 0.05, 0.04, 0.84]"
6.905344757,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.04, 0.01, 0.04, 0.05, 0.82]"
2.927376581,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.01, 0.02, 0.05, 0.02, 0.85]"
5.929066853,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.05, 0.05, 0.01, 0.04, 0.85]"
3.73365584,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.03, 0.01, 0.04, 0.05, 0.82]"
4.80221873,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.05, 0.01, 0.02, 0.01, 0.91]"
4.151366789,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.03, 0.03, 0.04, 0.05, 0.81]"
1.572244565,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.01, 0.02, 0.04, 0.04, 0.85]"
2.898233957,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.04, 0.05, 0.01, 0.02, 0.88]"
3.908511584,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.05, 0.03, 0.02, 0.04, 0.81]"
1.751957408,solubility,mg/mL,"[1, 2, 3, 4, 5]","[0.03, 0.04, 0.05, 0.02, 0.86]"
2.091954698,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.05, 0.03, 0.05, 0.05, 0.82]"
3.830797925,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.01, 0.03, 0.01, 0.05, 0.85]"
3.519943274,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.05, 0.01, 0.05, 0.04, 0.85]"
2.373666725,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.01, 0.01, 0.05, 0.02, 0.88]"
2.597093504,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.04, 0.05, 0.04, 0.05, 0.82]"
1.834528181,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.01, 0.01, 0.03, 0.86]"
3.481086437,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.02, 0.03, 0.05, 0.02, 0.84]"
2.329952789,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.03, 0.02, 0.04, 0.04, 0.83]"
